Topic,Category,Priority,Status,Claude's Question/Concern,Claude's Proposed Solution,Steve's Response,Claude 2 (Response to Steve)
Search - Scope,Features,MEDIUM,Decided,Current mock has global search. Should search cover: (A) Just topics (B) Topics + chat messages (C) Everything including artifacts?,Everything. Search box in top bar. Results grouped: Messages (with context) Topics (with status) Artifacts (with preview). Click result to jump to location.,(Steve didn't answer this one),"DEFAULT: Search everything (messages, topics, artifacts). Results grouped by type. Click to jump to location. Search is powerful when comprehensive."
Topic Categories - Predefined or Free,Data Model,LOW,Decided,Should categories be: (A) Predefined dropdown (technical design business) or (B) Free text tags or (C) Both?,Both. Predefined categories for consistency + free-form tags for flexibility. Categories are single-select tags are multi-select. AI suggests both when creating topic.,Yes and allow a setting/admin for customers to add their own. Or manage their own including removing predifined ones.,"EXCELLENT - Settings page: Manage Categories. Default: Technical, Design, Business, Content. Users can: Add custom, Remove/hide defaults, Reorder. Stored per-project in DB. AI uses project's category list when suggesting."
Topic Priority - Needed?,Data Model,LOW,Decided,Do we need priority field (high/medium/low) or is status enough?,Keep priority for MVP. Users think in terms of what's urgent. Shows as colored indicator: 🔴 high 🟡 medium ⚪ low. AI infers from language (ASAP urgent critical = high).,yes,"CONFIRMED - Priority stays. Simple visual indicators in UI."
Related Topics - Auto-linking,AI Logic,MEDIUM,Decided,Should AI auto-detect when topics are related and link them? Or manual only?,AI suggests relationships but user confirms. When creating new topic if AI detects similarity (>60% embedding match) show: Similar topics: [API Authentication] [JWT Implementation] → [Link as Related?].,I think the links are interesting but not critical,"AGREED - Nice-to-have, not critical. Will implement AI suggestion for similar topics but it's not MVP blocker. Can add after core features work."
Multi-Project - MVP?,Scope,MEDIUM - reduces scope,Decided,Current mock has project selector. Do we need multi-project in MVP or single project?,Single project for MVP. Removes complexity. Add project switching in Phase 2. Just have one default project per user.,"I will have multiple projects for sure because there will be multiple cases that we want to show. Anyway, we should build a database to support the whole idea including organisations and departments but for the MVP We will not be filling in those details","PERFECT PLAN - DB schema includes: organizations, departments, projects (full hierarchy). For MVP: create multiple projects but no org/dept UI. Just project dropdown. You can manually create test projects for demo cases. Full admin UI = Phase 2."
Export - Format,Features,LOW,Decided,What export formats needed? Markdown? PDF? JSON?,Markdown for MVP: Export conversation as .md file with topics as H2 sections. Export single topic as .md. JSON export for backup/migration (raw data). PDF nice-to-have for Phase 2.,Are you talking about exporting for a IT use? You tell me what's best. Or do you mean for the customer? For the customer we don't need to export anything right now. Any export I can send things to AI if I need to.,"CLARIFIED - I meant for YOU (development/debugging). JSON export = backup entire project data. Can send to AI for analysis. FOR CUSTOMERS: Not needed for MVP. We can add customer-facing exports later (PDF reports, etc.)."
Data Persistence,Technical,HIGH - prevents data loss,Decided,Should we save to Turso on every message or batch save?,Save every message immediately. Also save draft messages to localStorage so user doesn't lose text if browser crashes. Turso is fast enough for immediate writes.,Correct,"CONFIRMED - Immediate save + localStorage backup. Prevents data loss."
Undo Functionality,Technical,MEDIUM,Decided,How far back should undo go? Just last action or full history?,Store last 20 actions in memory: message sent topic created status changed topic deleted. Simple [Undo] link appears for 5 seconds after action. After 5 sec action is permanent.,You decide what's feasible and don't add too much complication,"SIMPLE APPROACH: Just [Undo] for topic deletion. Toast shows 'Topic deleted. [Undo]' for 5 seconds. Keeps deleted item in memory. Other actions don't need undo (messages can be deleted, status can be changed back). Minimal complexity."
Error Handling - AI API,Technical,HIGH,Decided,If Gemini API fails (rate limit network error) what's the UX?,Show error in chat: ⚠️ AI temporarily unavailable. Your message is saved. [Retry] [Use Offline Model]. Queue message to retry in 30sec. Fallback to Ollama if available.,Something like that,"AGREED - Graceful degradation. Message is saved, user can retry. If repeated failures, suggest checking API key/quota."
Offline Mode,Technical,LOW - not MVP,Decided,Should app work offline at all? Or require internet?,Require internet for MVP. Offline mode needs service workers + local model + sync logic = too complex. Show friendly message: 📡 You're offline. Reconnecting…,No Off-line mode,"CONFIRMED - Online only for MVP."
Loading States,UI/UX,MEDIUM,Decided,How should we show AI is thinking? Typing indicator? Skeleton?,Typing indicator: Three animated dots below last message (like iMessage). Appears immediately when user hits send. Shows while waiting for API response.,Okay,"CONFIRMED - Three dots animation. Clean and expected UX."
Empty States,UI/UX,MEDIUM,Decided,"When user first opens app (no messages no topics) what do they see?",Chat shows: Welcome message + 3 example prompts as clickable buttons: Help me design an API Review this architecture Draft a technical spec. Topics panel shows: No topics yet. They'll appear as you chat.,Okay,"CONFIRMED - Friendly onboarding with example prompts. Gets users started quickly."
Message Editing,Features,LOW,Decided,Can user edit their sent messages? Or only delete/resend?,No editing sent messages for MVP (too complex with AI context). User can delete last message + AI response then resend. Simple [Delete] icon on message hover.,Okay,"CONFIRMED - Delete + resend pattern. Simpler than edit."
Conversation History Limit,Technical,LOW,Decided,Should we limit how many messages display in chat? Infinite scroll or pagination?,Infinite scroll loading oldest messages as user scrolls up. Initially load last 50 messages. Virtual scrolling if performance issue (unlikely for MVP).,Okay. We also need to find how many old messages get sent in the API to AI when sending a message. I don't know how that has managed because Claude that's automatically.,"GOOD POINT - Will implement smart context window: (1) Always send system prompt (2) Send last 20 messages in full (3) Summarize older messages if conversation is long. This way AI has recent context without hitting token limits. Will write function to manage this."
AI Context Window,Technical,LOW - unlikely in MVP,Decided,How do we handle when conversation exceeds Gemini's context limit?,Gemini Flash 2.0 has 2M tokens (~1.5M words) so unlikely to hit in MVP. If we do: Summarize older messages keep last 20 full. Store full conversation in DB always just send summarized version to AI.,Okay,"CONFIRMED - Summarization strategy if needed. Very unlikely for MVP given Gemini's huge context."
System Prompts,AI Logic,MEDIUM,Decided,What system prompt should we use for the AI assistant?,Need Steve's input on AI personality. Propose: You are a helpful AI assistant for project discussions. Analyze conversations to identify distinct topics decisions and action items. Be concise and ask clarifying questions.,"Yes, we just need a normal AI response for now. We need to add information for it so it knows how to give us information for our system. Could we even give them the chance to choose what personality they want AI to be so the beginning of a project of maybe in the middle it could be a general AI, a developer expert, content writer expert et cetera","BRILLIANT IDEA! Project settings: AI Personality dropdown: General Assistant, Developer Expert, Product Manager, Content Writer, Designer. Each has different system prompt. Can change mid-project. System prompt includes: (1) Personality (2) Instructions to detect topics (3) Response format guidelines. Will make prompt library."
Topic Title Generation,AI Logic,MEDIUM,Decided,How should AI generate topic titles? User can edit but what's the default?,Extract 3-6 word title capturing core subject. Format: Noun + descriptive phrase (API error handling strategy) not sentences (How should we handle API errors?). User can always edit.,Okay,"CONFIRMED - Short descriptive titles, not questions. User can always edit."
Topic Description,AI Logic,LOW,Decided,Should topics have both title AND description? Or just title?,Both. Title is short (shown in list). Description is 1-2 sentences (shown in modal) providing context. AI generates both but user can edit.,Okay,"CONFIRMED - Title + description. More context is better."
Shortcuts/Hotkeys,UX,LOW,Decided,Any keyboard shortcuts needed?,Essential ones: ⌘+K = focus search ⌘+Enter = send message Escape = close modal Tab = navigate ⌘+/ = show shortcuts. Power users love shortcuts.,Okay,"CONFIRMED - Will implement basic shortcuts. Hidden power feature for speed."
Notification System,Features,LOW,Decided,Should app have notifications? (New topic created AI finished thinking),Toast notifications only for MVP. Small popup bottom-right: ✓ Topic created Successfully exported Error occurred. Auto-dismiss after 3 seconds.,Okay,"CONFIRMED - Simple toast notifications. Clean feedback."
Theme - Dark Mode,UI/UX,LOW - skip for MVP,Decided,Current mock is light mode. Do we need dark mode for MVP?,Skip dark mode for MVP. Add in Phase 2. Significantly increases CSS work. Most PM/tech tools used during day anyway.,"Okay, make it easy to change so it's not hard to add a different Theme","AGREED - Will use CSS custom properties (--color-primary, etc.) so theme swapping is easy later. Light mode only for MVP but architected for themes."
Responsive Breakpoints,Technical,MEDIUM,Decided,At what screen size should we switch to mobile layout?,Desktop: 1024px+ (chat left topics right). Tablet: 768-1023px (collapsible panels). Mobile: <768px (tabs at bottom). Test on: iPhone SE desktop 1920px.,Okay,"CONFIRMED - Standard breakpoints. Will test on key sizes."
Git Strategy,Process,LOW,Decided,Should we keep current demo or create new repo for real MVP?,Keep same repo. Create /mvp folder for new Next.js app. Keep /current for demo reference. Cleaner than new repo keeps history. Can delete demo later.,Okay. I think we will keep creating the HTML demo because it's a great way for me to understand the spec to check if things work in the real app so I can compare.,"PERFECT - /demo folder = HTML mockups (visual spec). /mvp folder = real Next.js app. /Planning folder = docs. Keep demos as reference. Great for alignment!"
Development Approach,Process,HIGH - need agreement on order,Decided,Build features in what order?,Week 1: Chat UI + Gemini integration + Turso schema. Week 2: Topic creation + linking. Week 3: Topic list + detail view + status. Week 4: Artifact display + commenting. Week 5: Analytics + polish.,You decide as the developer. What you call weeks is really an hour or two for you so it doesn't matter so much,"HA! True, I work fast. REVISED ORDER: Day 1: Schema + chat + Gemini. Day 2: Topic extraction. Day 3: Topics list + detail. Day 4: Artifacts. Day 5: Analytics + polish. Will go feature-by-feature, test as we build."
Testing Strategy,Process,LOW,Decided,Manual testing or automated tests for MVP?,Manual testing for MVP. You test + I fix. Add tests in Phase 2. Jest + React Testing Library for Next.js when we scale.,"Yes, but you need to do some thorough QA testing for lint and everything else. I want you to to build a way that you can actually run full tests of the system yourself even if it didn't mean you making extra bits of code to mimic what we do in the UI because you can certainly call the AI model and get results. Think about that.","SMART APPROACH - Will create test scripts that: (1) Call Gemini API directly with test messages (2) Create topics programmatically (3) Test DB operations (4) Verify JSON structure. Can run full flow without UI. Like integration tests. Good for regression checking."
Deployment,Process,LOW,Decided,Where to deploy MVP? Vercel?,Vercel for frontend (free auto-deploy from GitHub). Turso for DB (free tier). Domain: exelentthreads.vercel.app or custom domain if you have one?,It will be on vercel But I will be running it for the time being just for my machine,"UNDERSTOOD - Local development first. When ready to deploy, it's just 'vercel deploy'. No rush. Focus on building first."
Environment Variables,Technical,HIGH,Decided,What API keys/secrets needed?,GEMINI_API_KEY = Gemini API key. TURSO_DATABASE_URL = Turso connection. TURSO_AUTH_TOKEN = Turso auth. Store in .env.local not committed. You'll need to create both.,I know. I did go to the previous app and I'll do it for this one.,"CONFIRMED - You've got this. Will create .env.example with instructions."
AI Router Reference,Steve's other app,,,,,Is located here. /Users/stevewiseman/Documents/Github/exelentairelease. Maybe look at the AI router as well as the generation pages for how we created the json and UI for generated content,"EXPLORED - Saw your AI task router, ProseMirror sections, comments system. Excellent patterns. Will adapt for ExelentThreads. Your code quality is great - clean separation of concerns."
Topic Grouping Strategy,New Idea,HIGH,Open,,,,"NEW INSIGHT FROM STEVE: User could tell AI to group conversation into N topics (e.g. 'Organize into 10 topics') OR let AI decide naturally. This could be: (A) Project-level setting: 'Target 10-15 topics per project' or (B) Message-level command: User types 'Organize our discussion into 5 main topics'. Both useful! Thoughts?"
